tournament,team,league,rank,tourn_id
Promotion Spring 2023,maryville-university,north_american_challenger_league,1,110138704782649096
Promotion Spring 2023,aoe-esports,north_american_challenger_league,0.6905316829604521,110138704782649096
Promotion Spring 2023,team-fish-taco,north_american_challenger_league,0.5714669049586288,110138704782649096
Promotion Spring 2023,douyin-tony-top,NA,0.5303662241460332,110138704782649096
Promotion Spring 2023,fly-fam,NA,0.4808066530097663,110138704782649096
Promotion Spring 2023,supernova,north_american_challenger_league,0.4014320789696633,110138704782649096
Promotion Spring 2023,team-liquid-honda-first,NA,0.18764727787808813,110138704782649096
Promotion Spring 2023,the-last-dance,NA,0,110138704782649096
Regional Finals 2023,edward-gaming,lpl,1,110825936250664572
Regional Finals 2023,weibo-gaming,lpl,0.9789982637584418,110825936250664572
Regional Finals 2023,lng-esports,lpl,0.8518028443726939,110825936250664572
Regional Finals 2023,top-esports,lpl,0,110825936250664572
Season Finals 2023,g2-esports,lec,1,110848560874526298
Season Finals 2023,excel,lec,0.6444707314031065,110848560874526298
Season Finals 2023,sk-gaming,lec,0.5836600488999051,110848560874526298
Season Finals 2023,team-bds,lec,0.5177962007380439,110848560874526298
Season Finals 2023,fnatic,lec,0.503058637730314,110848560874526298
Season Finals 2023,mad-lions,lec,0,110848560874526298
Spring 2022 Main Event,ago-rogue,NA,1,107893386210553711
Spring 2022 Main Event,atleta-esport,pg_nationals,0.6807569817779875,107893386210553711
Spring 2022 Main Event,eintracht-spandau,primeleague,0.5960190304777725,107893386210553711
Spring 2022 Main Event,fnatictq,superliga,0.5910221200260836,107893386210553711
Spring 2022 Main Event,ldlc-ol,lfl,0.5573792632799355,107893386210553711
Spring 2022 Main Event,crvena-zvezda-esports,esports_balkan_league,0.4495908242499197,107893386210553711
Spring 2022 Main Event,team-esca-gaming,ultraliga,0.4368108910554616,107893386210553711
Spring 2022 Main Event,gamerlegion,primeleague,0.34149596119512393,107893386210553711
Spring 2022 Main Event,team-phantasma,greek_legends,0.33563865876714927,107893386210553711
Spring 2022 Main Event,team-bds-academy,lfl,0.3147435461469783,107893386210553711
Spring 2022 Main Event,bisons-eclub,superliga,0.27143732286906064,107893386210553711
Spring 2022 Main Event,bifrost,NA,0.2307750178474443,107893386210553711
Spring 2022 Main Event,x7,NA,0.1898740292537171,107893386210553711
Spring 2022 Main Event,vitalitybee,lfl,0.1335763602636833,107893386210553711
Spring 2022 Main Event,unicorns-of-love-sexy-edition,primeleague,0.0751426900841674,107893386210553711
Spring 2022 Main Event,karmine-corp,lfl,0,107893386210553711
Spring 2022 Play Ins,for-the-win-esports,liga_portuguesa,1,107893136888836553
Spring 2022 Play Ins,macko-esports,pg_nationals,0.8691307522453421,107893136888836553
Spring 2022 Play Ins,entropiq,hitpoint_masters,0.8316391588030381,107893136888836553
Spring 2022 Play Ins,egn-esports,liga_portuguesa,0.7467652227789139,107893136888836553
Spring 2022 Play Ins,bifrost,NA,0.6419721765664803,107893136888836553
Spring 2022 Play Ins,zero-tenacity,ultraliga,0.604807368288432,107893136888836553
Spring 2022 Play Ins,we-love-gaming,greek_legends,0.5996606729633382,107893136888836553
Spring 2022 Play Ins,barca-esports,superliga,0.5883502656043466,107893136888836553
Spring 2022 Play Ins,valiance-pro-game,esports_balkan_league,0.5653061947950333,107893136888836553
Spring 2022 Play Ins,karmine-corp,lfl,0.5247684639443045,107893136888836553
Spring 2022 Play Ins,mcon-lg-ultragear,elite_series,0.4949414338730409,107893136888836553
Spring 2022 Play Ins,krc-genk-esports,elite_series,0.46810821821351306,107893136888836553
Spring 2022 Play Ins,topo-centras-iron-wolves,ultraliga,0.2851749479024145,107893136888836553
Spring 2022 Play Ins,esuba,hitpoint_masters,0.2700388588017345,107893136888836553
Spring 2022 Play Ins,vitalitybee,lfl,0.252035841694583,107893136888836553
Spring 2022 Play Ins,unicorns-of-love-sexy-edition,primeleague,0,107893136888836553
Spring 2023,g2-esports,lec,1,109919226376366902
Spring 2023,team-heretics-lec,lec,0.8646310949754337,109919226376366902
Spring 2023,team-bds,lec,0.8292357660772228,109919226376366902
Spring 2023,team-vitality,lec,0.7201394640639414,109919226376366902
Spring 2023,sk-gaming,lec,0.6962373831593297,109919226376366902
Spring 2023,mad-lions,lec,0.5724534703204555,109919226376366902
Spring 2023,rogue,lec,0.5065593238371848,109919226376366902
Spring 2023,excel,lec,0.36124584176330565,109919226376366902
Spring 2023,astralis,lec,0.23904845566597946,109919226376366902
Spring 2023,fnatic,lec,0,109919226376366902
Summer 2022 Main Event,x7,NA,1,108746562333593659
Summer 2022 Main Event,ago-rogue,NA,0.9911120517461565,108746562333593659
Summer 2022 Main Event,sk-gaming-prime,primeleague,0.9672450757204156,108746562333593659
Summer 2022 Main Event,schalke-04,primeleague,0.9583678657189165,108746562333593659
Summer 2022 Main Event,ldlc-ol,lfl,0.7758684776393271,108746562333593659
Summer 2022 Main Event,team-bds-academy,lfl,0.7749189883480601,108746562333593659
Summer 2022 Main Event,giants,superliga,0.7394572148494477,108746562333593659
Summer 2022 Main Event,zero-tenacity,ultraliga,0.5856059139061297,108746562333593659
Summer 2022 Main Event,team-heretics-sl,superliga,0.5708709509469456,108746562333593659
Summer 2022 Main Event,dusty,NA,0.5399322611992772,108746562333593659
Summer 2022 Main Event,gameward,lfl,0.418403244806342,108746562333593659
Summer 2022 Main Event,anorthosis-famagusta-esports,greek_legends,0.33365925374708866,108746562333593659
Summer 2022 Main Event,macko-esports,pg_nationals,0.22092242890530836,108746562333593659
Summer 2022 Main Event,valiance-pro-game,esports_balkan_league,0.19514950957138563,108746562333593659
Summer 2022 Main Event,vitalitybee,lfl,0.19030886301846225,108746562333593659
Summer 2022 Main Event,unicorns-of-love-sexy-edition,primeleague,0,108746562333593659
Summer 2022 Play Ins,krc-genk-esports,elite_series,1,108746545967156991
Summer 2022 Play Ins,team-phantasma,greek_legends,0.8809520249794484,108746545967156991
Summer 2022 Play Ins,for-the-win-esports,liga_portuguesa,0.877507015120964,108746545967156991
Summer 2022 Play Ins,white-dragons,liga_portuguesa,0.7658712418840132,108746545967156991
Summer 2022 Play Ins,anc-outplayed,pg_nationals,0.7159293585820623,108746545967156991
Summer 2022 Play Ins,vitalitybee,lfl,0.6838769427278036,108746545967156991
Summer 2022 Play Ins,entropiq,hitpoint_masters,0.6363507453342523,108746545967156991
Summer 2022 Play Ins,crvena-zvezda-esports,esports_balkan_league,0.6345254617104422,108746545967156991
Summer 2022 Play Ins,anorthosis-famagusta-esports,greek_legends,0.630490097191474,108746545967156991
Summer 2022 Play Ins,esuba,hitpoint_masters,0.5861567965632075,108746545967156991
Summer 2022 Play Ins,echo-zulu,NA,0.4927002530956006,108746545967156991
Summer 2022 Play Ins,illuminar-gaming,ultraliga,0.46094308299874764,108746545967156991
Summer 2022 Play Ins,sk-gaming-prime,primeleague,0.4237292580224681,108746545967156991
Summer 2022 Play Ins,gameward,lfl,0.35683506511293767,108746545967156991
Summer 2022 Play Ins,bisons-eclub,superliga,0.26684222797429097,108746545967156991
Summer 2022 Play Ins,jdxl,NA,0,108746545967156991
Summer 2023,sk-gaming-prime,primeleague,1,110535609415063567
Summer 2023,maryville-university,north_american_challenger_league,1,110574243270525539
Summer 2023,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.9327120933274443,110535609415063567
Summer 2023,macko-esports,pg_nationals,0.8498516296528037,110535609415063567
Summer 2023,karmine-corp,lfl,0.8446885599997722,110535609415063567
Summer 2023,supernova,north_american_challenger_league,0.823688975548015,110574243270525539
Summer 2023,entropiq,hitpoint_masters,0.8075277606316138,110535609415063567
Summer 2023,szaty-bobra,ultraliga,0.7974953294825,110535609415063567
Summer 2023,diamant-esports,esports_balkan_league,0.7968731939011987,110535609415063567
Summer 2023,nativz,nlc,0.6507226591057914,110535609415063567
Summer 2023,bkrog-gamerorigin,lfl,0.6268897303165603,110535609415063567
Summer 2023,gtz-bulls,liga_portuguesa,0.6138137779758739,110535609415063567
Summer 2023,movistar-riders,superliga,0.6070415063207119,110535609415063567
Summer 2023,nord-esports,nlc,0.5543986663142327,110535609415063567
Summer 2023,fut-team,turkiye-sampiyonluk-ligi,0.54116661875801,110535609415063567
Summer 2023,krc-genk-esports,elite_series,0.5080509568330228,110535609415063567
Summer 2023,team-7am,elite_series,0.49336179994123613,110535609415063567
Summer 2023,anubis-gaming,arabian_league,0.47414355996757035,110535609415063567
Summer 2023,anorthosis-famagusta-esports,greek_legends,0.4640660530866164,110535609415063567
Summer 2023,we-love-gaming,greek_legends,0.4515485600418639,110535609415063567
Summer 2023,aoe-esports,north_american_challenger_league,0.42853539293745413,110574243270525539
Summer 2023,unicorns-of-love-sexy-edition,primeleague,0.38221842192134986,110535609415063567
Summer 2023,bisons-eclub,superliga,0.3454988549436061,110535609415063567
Summer 2023,nigma-galaxy,arabian_league,0.30845500374379653,110535609415063567
Summer 2023,alior-bank-team,ultraliga,0.27021559492995506,110535609415063567
Summer 2023,gamersorigin,lfl,0.2580146298506978,110535609415063567
Summer 2023,partizan-esports,esports_balkan_league,0.2579502993885866,110535609415063567
Summer 2023,dsyre,pg_nationals,0.1775858282803384,110535609415063567
Summer 2023,white-dragons,liga_portuguesa,0.08382376877440458,110535609415063567
Summer 2023,nasr-esports,turkiye-sampiyonluk-ligi,0.040409818288082974,110535609415063567
Summer 2023,brute,hitpoint_masters,0,110535609415063567
Summer 2023,team-fish-taco,north_american_challenger_league,0,110574243270525539
TCL Summer 2020,royal-bandits-e-sports,NA,1,104248884617992857
TCL Summer 2020,fenerbahce-espor,NA,0.9735426940786304,104248884617992857
TCL Summer 2020,galatasaray-espor,NA,0.932305457703201,104248884617992857
TCL Summer 2020,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.7563670367311249,104248884617992857
TCL Summer 2020,galakticos,turkiye-sampiyonluk-ligi,0.7486914765275839,104248884617992857
TCL Summer 2020,info-yatrm-aurora,NA,0.5832363229673321,104248884617992857
TCL Summer 2020,5-ronin,NA,0.5204933224140272,104248884617992857
TCL Summer 2020,papara-supermassive-blaze,turkiye-sampiyonluk-ligi,0.45292908444741686,104248884617992857
TCL Summer 2020,dark-passage,turkiye-sampiyonluk-ligi,0.26306325725179636,104248884617992857
TCL Summer 2020,besiktas,turkiye-sampiyonluk-ligi,0,104248884617992857
TCL Summer 2022,fastpay-wildcats,turkiye-sampiyonluk-ligi,1,108197589213750000
TCL Summer 2022,nasr-esports,turkiye-sampiyonluk-ligi,0.8513879365688698,108197589213750000
TCL Summer 2022,fenerbahce-espor,NA,0.5368173864827132,108197589213750000
TCL Summer 2022,papara-supermassive-blaze,turkiye-sampiyonluk-ligi,0.39702769919309167,108197589213750000
TCL Summer 2022,5-ronin,NA,0.3956231458439603,108197589213750000
TCL Summer 2022,galatasaray-espor,NA,0.32895993866090645,108197589213750000
TCL Summer 2022,info-yatrm-aurora,NA,0.3226241060087695,108197589213750000
TCL Summer 2022,dark-passage,turkiye-sampiyonluk-ligi,0.20009902060330004,108197589213750000
TCL Summer 2022,besiktas,turkiye-sampiyonluk-ligi,0.12352950150639395,108197589213750000
TCL Summer 2022,galakticos,turkiye-sampiyonluk-ligi,0,108197589213750000
Worlds 2022,geng,lck,1.3046998020311316,108998961191900167
Worlds 2022,ctbc-flying-oyster,pcs,1.2,108998961191900167
Worlds 2022,cloud9,lcs,1.069256084574812,108998961191900167
Worlds 2022,loud,cblol-brazil,1.0077737055060123,108998961191900167
Worlds 2022,g2-esports,lec,1.0044710890802635,108998961191900167
Worlds 2022,dwg-kia,lck,0.9366785706514501,108998961191900167
Worlds 2022,detonation-focusme,ljl-japan,0.8847393867897867,108998961191900167
Worlds 2022,the-chiefs,lco,0.8832370826248388,108998961191900167
Worlds 2022,rogue,lec,0.8278826765572623,108998961191900167
Worlds 2022,fnatic,lec,0.7651041748456717,108998961191900167
Worlds 2022,evil-geniuses,lcs,0.7616701902771292,108998961191900167
Worlds 2022,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.7340160234231757,108998961191900167
Worlds 2022,isurus,lla,0.6034304790518319,108998961191900167
Worlds 2022,drx,lck,0.5021076119103915,108998961191900167
Worlds 2022,mad-lions,lec,0.4250355729136658,108998961191900167
Worlds 2022,mega-bank-beyond-gaming,pcs,0.38109875735457016,108998961191900167
Worlds 2022,t1,lck,0.08768290009049333,108998961191900167
Worlds 2022,100-thieves,lcs,0,108998961191900167
european_masters_spring_2021_main_event,karmine-corp,lfl,1,105990084003609117
european_masters_spring_2021_main_event,ucam-esports-club,superliga,0.8307133557544873,105990084003609117
european_masters_spring_2021_main_event,anorthosis-famagusta-esports,greek_legends,0.7600297422846786,105990084003609117
european_masters_spring_2021_main_event,jdxl,NA,0.7084035249382951,105990084003609117
european_masters_spring_2021_main_event,ago-rogue,NA,0.7059086561006658,105990084003609117
european_masters_spring_2021_main_event,suppup-esports,NA,0.6740357450974596,105990084003609117
european_masters_spring_2021_main_event,mousesports,primeleague,0.5375713774834197,105990084003609117
european_masters_spring_2021_main_event,misfits-premier,NA,0.3955678586410503,105990084003609117
european_masters_spring_2021_main_event,illuminar-gaming,ultraliga,0.3783390686908579,105990084003609117
european_masters_spring_2021_main_event,schalke-04-evolution,NA,0.35443274599550195,105990084003609117
european_masters_spring_2021_main_event,macko-esports,pg_nationals,0.33500409201838727,105990084003609117
european_masters_spring_2021_main_event,g2-arctic,NA,0.2674261400046806,105990084003609117
european_masters_spring_2021_main_event,berlin-international-gaming,primeleague,0.19453903239556922,105990084003609117
european_masters_spring_2021_main_event,mkers,NA,0.1809980268919884,105990084003609117
european_masters_spring_2021_main_event,k1ck-neosurf,NA,0.08085605460936193,105990084003609117
european_masters_spring_2021_main_event,herbalife-real-betis,NA,0,105990084003609117
european_masters_spring_2021_play_ins,method2madness,NA,1,105945560578760612
european_masters_spring_2021_play_ins,esuba,hitpoint_masters,0.9831184045450684,105945560578760612
european_masters_spring_2021_play_ins,kv-mechelen-esports,NA,0.8317808762187663,105945560578760612
european_masters_spring_2021_play_ins,psv-esports,NA,0.649447743003723,105945560578760612
european_masters_spring_2021_play_ins,white-dragons,liga_portuguesa,0.6317993832930435,105945560578760612
european_masters_spring_2021_play_ins,goskilla,NA,0.5680957306434695,105945560578760612
european_masters_spring_2021_play_ins,g2-arctic,NA,0.4942450568646769,105945560578760612
european_masters_spring_2021_play_ins,for-the-win-esports,liga_portuguesa,0.4756077093059016,105945560578760612
european_masters_spring_2021_play_ins,hma-fnatic-rising,NA,0.44860878480450844,105945560578760612
european_masters_spring_2021_play_ins,sinners-esports,hitpoint_masters,0.3000368716871572,105945560578760612
european_masters_spring_2021_play_ins,schalke-04-evolution,NA,0.27076471207051467,105945560578760612
european_masters_spring_2021_play_ins,gamespace-mediterranean-college-esports,greek_legends,0.26771707501889846,105945560578760612
european_masters_spring_2021_play_ins,zero-tenacity,ultraliga,0.21262111250708016,105945560578760612
european_masters_spring_2021_play_ins,illuminar-gaming,ultraliga,0.2054386411157925,105945560578760612
european_masters_spring_2021_play_ins,mkers,NA,0.15481029589418938,105945560578760612
european_masters_spring_2021_play_ins,vitalitybee,lfl,0,105945560578760612
european_masters_summer_2021_main_event,movistar-riders,superliga,1,106748850929174796
european_masters_summer_2021_main_event,hma-fnatic-rising,NA,0.9675213103288929,106748850929174796
european_masters_summer_2021_main_event,berlin-international-gaming,primeleague,0.8410121920564062,106748850929174796
european_masters_summer_2021_main_event,illuminar-gaming,ultraliga,0.690357088883501,106748850929174796
european_masters_summer_2021_main_event,macko-esports,pg_nationals,0.6658282145097335,106748850929174796
european_masters_summer_2021_main_event,karmine-corp,lfl,0.6047196054522469,106748850929174796
european_masters_summer_2021_main_event,pdw,NA,0.5853169855720413,106748850929174796
european_masters_summer_2021_main_event,ucam-esports-club,superliga,0.5584310121095151,106748850929174796
european_masters_summer_2021_main_event,mousesports,primeleague,0.5022263216430318,106748850929174796
european_masters_summer_2021_main_event,ago-rogue,NA,0.4455655046870946,106748850929174796
european_masters_summer_2021_main_event,misfits-premier,NA,0.4427172124584941,106748850929174796
european_masters_summer_2021_main_event,zero-tenacity,ultraliga,0.4304629203413401,106748850929174796
european_masters_summer_2021_main_event,anorthosis-famagusta-esports,greek_legends,0.39858509762771654,106748850929174796
european_masters_summer_2021_main_event,tricked-esport,NA,0.23344295615700364,106748850929174796
european_masters_summer_2021_main_event,penta-1860,NA,0.11538661818711717,106748850929174796
european_masters_summer_2021_main_event,giants,superliga,0,106748850929174796
msi_2021,royal-never-give-up,lpl,1.5,105873410870441926
msi_2021,mad-lions,lec,1.256749180233486,105873410870441926
msi_2021,cloud9,lcs,1.2137753706122913,105873410870441926
msi_2021,dwg-kia,lck,1.0574570642017191,105873410870441926
msi_2021,pain-gaming,cblol-brazil,0.8279425435723597,105873410870441926
msi_2021,detonation-focusme,ljl-japan,0.8123117436237562,105873410870441926
msi_2021,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.7151381459404597,105873410870441926
msi_2021,unicorns-of-love,lcl,0.6694049251742381,105873410870441926
msi_2021,infinity,lla,0.6223940286674874,105873410870441926
msi_2021,psg-talon,pcs,0.0645504583265832,105873410870441926
msi_2021,pentanetgg,lco,0,105873410870441926
mss 2021 (archive),team-liquid,lcs,1,105788932118361426
mss 2021 (archive),dignitas,lcs,0.2992022922672247,105788932118361426
mss 2021 (archive),tsm,lcs,0.17955165633480322,105788932118361426
mss 2021 (archive),evil-geniuses,lcs,0.08538076749607316,105788932118361426
mss 2021 (archive),cloud9,lcs,0.010258269490357574,105788932118361426
mss 2021 (archive),100-thieves,lcs,0,105788932118361426
opl_split2_2020,the-chiefs,lco,1,104151038596540368
opl_split2_2020,dire-wolves,lco,0.7916300520542671,104151038596540368
opl_split2_2020,order,NA,0.4785278718625161,104151038596540368
opl_split2_2020,legacy-esports,NA,0,104151038596540368
worlds_2020,geng,lck,1.356693767453756,104841804583318464
worlds_2020,psg-talon,pcs,1.2,104841804583318464
worlds_2020,dwg-kia,lck,1.0481433659811015,104841804583318464
worlds_2020,g2-esports,lec,1.0257040317917465,104841804583318464
worlds_2020,tsm,lcs,0.9789104540992606,104841804583318464
worlds_2020,flyquest,lcs,0.9564014760254249,104841804583318464
worlds_2020,team-liquid,lcs,0.7920736028753942,104841804583318464
worlds_2020,fnatic,lec,0.7601699754593665,104841804583318464
worlds_2020,legacy-esports,NA,0.6208417143268736,104841804583318464
worlds_2020,rainbow7,lla,0.5830050435886389,104841804583318464
worlds_2020,papara-supermassive-blaze,turkiye-sampiyonluk-ligi,0.5659839269255665,104841804583318464
worlds_2020,v3-esports,ljl-japan,0.562132734586886,104841804583318464
worlds_2020,rogue,lec,0.559591878528928,104841804583318464
worlds_2020,intz,cblol-brazil,0.5271208454941025,104841804583318464
worlds_2020,drx,lck,0.45794778647777545,104841804583318464
worlds_2020,mad-lions,lec,0.4397652744072842,104841804583318464
worlds_2020,lgd-gaming,lpl,0,104841804583318464
worlds_2021,mad-lions,lec,1.3,106926282333089592
worlds_2021,hanwha-life-esports,lck,1.1831167406756653,106926282333089592
worlds_2021,dwg-kia,lck,1.069063385014118,106926282333089592
worlds_2021,geng,lck,1.007316709676886,106926282333089592
worlds_2021,t1,lck,0.9964396566019207,106926282333089592
worlds_2021,fnatic,lec,0.9777168132770401,106926282333089592
worlds_2021,cloud9,lcs,0.8767408407442004,106926282333089592
worlds_2021,infinity,lla,0.7046702630426913,106926282333089592
worlds_2021,galatasaray-espor,NA,0.701976176801708,106926282333089592
worlds_2021,red-kalunga,cblol-brazil,0.6705440181223453,106926282333089592
worlds_2021,100-thieves,lcs,0.6505048604140694,106926282333089592
worlds_2021,team-liquid,lcs,0.6178996919711006,106926282333089592
worlds_2021,psg-talon,pcs,0.6021410030491762,106926282333089592
worlds_2021,mega-bank-beyond-gaming,pcs,0.534371961202136,106926282333089592
worlds_2021,detonation-focusme,ljl-japan,0.4859088447805898,106926282333089592
worlds_2021,peace,NA,0.4853098093192769,106926282333089592
worlds_2021,unicorns-of-love,lcl,0.23861625276118256,106926282333089592
worlds_2021,rogue,lec,0,106926282333089592
