"","Tournament","Team","League","Rank Score","tourn_id","search","Rank"
"1","#2 Spring 2023","maryville-university","north_american_challenger_league","1","109974742840567627","#2 Spring 2023 (109974742840567627)",1
"2","#2 Spring 2023","supernova","north_american_challenger_league","0.8386750311757463","109974742840567627","#2 Spring 2023 (109974742840567627)",2
"3","#2 Spring 2023","native-gaming",NA,"0.7762507047210837","109974742840567627","#2 Spring 2023 (109974742840567627)",3
"4","#2 Spring 2023","team-fish-taco","north_american_challenger_league","0.6863688589461165","109974742840567627","#2 Spring 2023 (109974742840567627)",4
"5","#2 Spring 2023","douyin-tony-top",NA,"0.6831547891974321","109974742840567627","#2 Spring 2023 (109974742840567627)",5
"6","#2 Spring 2023","zenigma",NA,"0.5785448518387037","109974742840567627","#2 Spring 2023 (109974742840567627)",6
"7","#2 Spring 2023","team-ambition",NA,"0.46982724203975507","109974742840567627","#2 Spring 2023 (109974742840567627)",7
"8","#2 Spring 2023","winthrop-university",NA,"0.4331291667508585","109974742840567627","#2 Spring 2023 (109974742840567627)",8
"9","#2 Spring 2023","lit-esports",NA,"0.35807452359562675","109974742840567627","#2 Spring 2023 (109974742840567627)",9
"10","#2 Spring 2023","conviction",NA,"0","109974742840567627","#2 Spring 2023 (109974742840567627)",10
"11","#2 Summer 2023","ccg-esports",NA,"1","110733838935136200","#2 Summer 2023 (110733838935136200)",11
"12","#2 Summer 2023","team-ambition",NA,"0.9794388047677116","110733838935136200","#2 Summer 2023 (110733838935136200)",12
"13","#2 Summer 2023","teamless-revenge",NA,"0.9237302853939141","110733838935136200","#2 Summer 2023 (110733838935136200)",13
"14","#2 Summer 2023","winthrop-university",NA,"0.9076090158180218","110733838935136200","#2 Summer 2023 (110733838935136200)",14
"15","#2 Summer 2023","cb-gaming",NA,"0.8474120825034673","110733838935136200","#2 Summer 2023 (110733838935136200)",15
"16","#2 Summer 2023","komodo",NA,"0.8200133270432144","110733838935136200","#2 Summer 2023 (110733838935136200)",16
"17","#2 Summer 2023","mirage-alliance",NA,"0.7361518896444434","110733838935136200","#2 Summer 2023 (110733838935136200)",17
"18","#2 Summer 2023","kelyxs-grandpa-gamers",NA,"0.7009508497782758","110733838935136200","#2 Summer 2023 (110733838935136200)",18
"19","#2 Summer 2023","lit-esports",NA,"0.6483820501220512","110733838935136200","#2 Summer 2023 (110733838935136200)",19
"20","#2 Summer 2023","apex-mission-impossible",NA,"0.27894361985910104","110733838935136200","#2 Summer 2023 (110733838935136200)",20
"21","#2 Summer 2023","aporia",NA,"0","110733838935136200","#2 Summer 2023 (110733838935136200)",21
"22","CBLOL Split 2 2020","kabum-esports","cblol-brazil","1","104202471497759152","CBLOL Split 2 2020 (104202471497759152)",22
"23","CBLOL Split 2 2020","santos-hotforex",NA,"0.8903899245748875","104202471497759152","CBLOL Split 2 2020 (104202471497759152)",23
"24","CBLOL Split 2 2020","liberty","cblol-brazil","0.6561948167820046","104202471497759152","CBLOL Split 2 2020 (104202471497759152)",24
"25","CBLOL Split 2 2020","furia","cblol-brazil","0.48122145479743866","104202471497759152","CBLOL Split 2 2020 (104202471497759152)",25
"26","CBLOL Split 2 2020","intz","cblol-brazil","0.44397034036842703","104202471497759152","CBLOL Split 2 2020 (104202471497759152)",26
"27","CBLOL Split 2 2020","flamengo-esports",NA,"0.3927064178142605","104202471497759152","CBLOL Split 2 2020 (104202471497759152)",27
"28","CBLOL Split 2 2020","vivo-keyd","cblol-brazil","0.12900097473266642","104202471497759152","CBLOL Split 2 2020 (104202471497759152)",28
"29","CBLOL Split 2 2020","pain-gaming","cblol-brazil","0","104202471497759152","CBLOL Split 2 2020 (104202471497759152)",29
"30","European Masters - Summer 2021 Play Ins","team-phantasma","greek_legends","1","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",30
"31","European Masters - Summer 2021 Play Ins","hma-fnatic-rising",NA,"0.9166150361787769","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",31
"32","European Masters - Summer 2021 Play Ins","white-dragons","liga_portuguesa","0.7086092504437852","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",32
"33","European Masters - Summer 2021 Play Ins","topo-centras-iron-wolves","ultraliga","0.6852387583011917","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",33
"34","European Masters - Summer 2021 Play Ins","karma-clan-esports",NA,"0.6724198451112945","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",34
"35","European Masters - Summer 2021 Play Ins","movistar-riders","superliga","0.610852665448915","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",35
"36","European Masters - Summer 2021 Play Ins","mousesports","primeleague","0.5372136692731162","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",36
"37","European Masters - Summer 2021 Play Ins","esuba","hitpoint_masters","0.5061278414048502","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",37
"38","European Masters - Summer 2021 Play Ins","mcon-lg-ultragear","elite_series","0.49547468480142265","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",38
"39","European Masters - Summer 2021 Play Ins","ago-rogue",NA,"0.44056017288329297","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",39
"40","European Masters - Summer 2021 Play Ins","sector-one",NA,"0.40592088473612203","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",40
"41","European Masters - Summer 2021 Play Ins","crvena-zvezda-esports","esports_balkan_league","0.2950857313398303","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",41
"42","European Masters - Summer 2021 Play Ins","goexanimo",NA,"0.25046552669618066","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",42
"43","European Masters - Summer 2021 Play Ins","anc-outplayed","pg_nationals","0.1957686878333334","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",43
"44","European Masters - Summer 2021 Play Ins","sinners-esports","hitpoint_masters","0.1919200768038089","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",44
"45","European Masters - Summer 2021 Play Ins","vitalitybee","lfl","0","106744065768553123","European Masters - Summer 2021 Play Ins (106744065768553123)",45
"46","Honor League Closing 2022","rebirth-esports",NA,"1","108290534327713461","Honor League Closing 2022 (108290534327713461)",46
"47","Honor League Closing 2022","newstar",NA,"0.9828218624843065","108290534327713461","Honor League Closing 2022 (108290534327713461)",47
"48","Honor League Closing 2022","furious-gaming","south_regional_league","0.7474436263833367","108290534327713461","Honor League Closing 2022 (108290534327713461)",48
"49","Honor League Closing 2022","dark-horse",NA,"0.5453052646538957","108290534327713461","Honor League Closing 2022 (108290534327713461)",49
"50","Honor League Closing 2022","meta-gaming","south_regional_league","0.5347699480502904","108290534327713461","Honor League Closing 2022 (108290534327713461)",50
"51","Honor League Closing 2022","santiago-wanderers",NA,"0.45864853331132927","108290534327713461","Honor League Closing 2022 (108290534327713461)",51
"52","Honor League Closing 2022","movistar-optix",NA,"0.42698426548067203","108290534327713461","Honor League Closing 2022 (108290534327713461)",52
"53","Honor League Closing 2022","maze-gaming",NA,"0.04587848661296937","108290534327713461","Honor League Closing 2022 (108290534327713461)",53
"54","Honor League Closing 2022","wolf-club-gaming",NA,"0","108290534327713461","Honor League Closing 2022 (108290534327713461)",54
"55","LCK Challengers Summer 2022","dwg-kia-challengers","lck_challengers_league","1","108211175216687366","LCK Challengers Summer 2022 (108211175216687366)",55
"56","LCK Challengers Summer 2022","t1-challengers","lck_challengers_league","0.46045612867635544","108211175216687366","LCK Challengers Summer 2022 (108211175216687366)",56
"57","LCK Challengers Summer 2022","drx-challengers","lck_challengers_league","0.3552697780628945","108211175216687366","LCK Challengers Summer 2022 (108211175216687366)",57
"58","LCK Challengers Summer 2022","kt-challengers","lck_challengers_league","0.02691724448881149","108211175216687366","LCK Challengers Summer 2022 (108211175216687366)",58
"59","LCK Challengers Summer 2022","kwangdong-freecs-challengers","lck_challengers_league","0.020303283696814983","108211175216687366","LCK Challengers Summer 2022 (108211175216687366)",59
"60","LCK Challengers Summer 2022","ns-challengers","lck_challengers_league","0","108211175216687366","LCK Challengers Summer 2022 (108211175216687366)",60
"61","LCK Regional Finals 2021","t1","lck","1","106840590962292347","LCK Regional Finals 2021 (106840590962292347)",61
"62","LCK Regional Finals 2021","nongshim-redforce","lck","0.6654734667923616","106840590962292347","LCK Regional Finals 2021 (106840590962292347)",62
"63","LCK Regional Finals 2021","hanwha-life-esports","lck","0.4320694710103647","106840590962292347","LCK Regional Finals 2021 (106840590962292347)",63
"64","LCK Regional Finals 2021","liiv-sandbox","lck","0","106840590962292347","LCK Regional Finals 2021 (106840590962292347)",64
"65","LCK Regional Finals 2022","kt-rolster","lck","1","108797577868041021","LCK Regional Finals 2022 (108797577868041021)",65
"66","LCK Regional Finals 2022","dwg-kia","lck","0.9414462425308274","108797577868041021","LCK Regional Finals 2022 (108797577868041021)",66
"67","LCK Regional Finals 2022","liiv-sandbox","lck","0.5820027468307367","108797577868041021","LCK Regional Finals 2022 (108797577868041021)",67
"68","LCK Regional Finals 2022","drx","lck","0","108797577868041021","LCK Regional Finals 2022 (108797577868041021)",68
"69","LCK Summer 2020","geng","lck","1","104174613295388764","LCK Summer 2020 (104174613295388764)",69
"70","LCK Summer 2020","drx","lck","0.7926596419681635","104174613295388764","LCK Summer 2020 (104174613295388764)",70
"71","LCK Summer 2020","t1","lck","0.7708849408615119","104174613295388764","LCK Summer 2020 (104174613295388764)",71
"72","LCK Summer 2020","dwg-kia","lck","0.6437256820339619","104174613295388764","LCK Summer 2020 (104174613295388764)",72
"73","LCK Summer 2020","liiv-sandbox","lck","0.4200560416533845","104174613295388764","LCK Summer 2020 (104174613295388764)",73
"74","LCK Summer 2020","nongshim-redforce","lck","0","104174613295388764","LCK Summer 2020 (104174613295388764)",74
"75","LCK Summer 2022","t1","lck","1","108195478954601542","LCK Summer 2022 (108195478954601542)",75
"76","LCK Summer 2022","dwg-kia","lck","0.830971979575394","108195478954601542","LCK Summer 2022 (108195478954601542)",76
"77","LCK Summer 2022","kwangdong-freecs","lck","0.6239252983398519","108195478954601542","LCK Summer 2022 (108195478954601542)",77
"78","LCK Summer 2022","nongshim-redforce","lck","0.591345350842369","108195478954601542","LCK Summer 2022 (108195478954601542)",78
"79","LCK Summer 2022","geng","lck","0.47121284867385554","108195478954601542","LCK Summer 2022 (108195478954601542)",79
"80","LCK Summer 2022","kt-rolster","lck","0.3814170503778149","108195478954601542","LCK Summer 2022 (108195478954601542)",80
"81","LCK Summer 2022","fredit-brion","lck","0.3545720925812876","108195478954601542","LCK Summer 2022 (108195478954601542)",81
"82","LCK Summer 2022","drx","lck","0.07847010764538574","108195478954601542","LCK Summer 2022 (108195478954601542)",82
"83","LCK Summer 2022","hanwha-life-esports","lck","0.051694921844419935","108195478954601542","LCK Summer 2022 (108195478954601542)",83
"84","LCK Summer 2022","liiv-sandbox","lck","0","108195478954601542","LCK Summer 2022 (108195478954601542)",84
"85","LCS Academy Summer 2021","tl-academy","north_american_challenger_league","1","106273298442359221","LCS Academy Summer 2021 (106273298442359221)",85
"86","LCS Academy Summer 2021","eg-academy","north_american_challenger_league","0.4262831639215944","106273298442359221","LCS Academy Summer 2021 (106273298442359221)",86
"87","LCS Academy Summer 2021","100-academy",NA,"0.42408643938863777","106273298442359221","LCS Academy Summer 2021 (106273298442359221)",87
"88","LCS Academy Summer 2021","c9-academy",NA,"0.4071797244135737","106273298442359221","LCS Academy Summer 2021 (106273298442359221)",88
"89","LCS Academy Summer 2021","fly-academy","north_american_challenger_league","0.3939786083531262","106273298442359221","LCS Academy Summer 2021 (106273298442359221)",89
"90","LCS Academy Summer 2021","gg-academy",NA,"0.38986244757644273","106273298442359221","LCS Academy Summer 2021 (106273298442359221)",90
"91","LCS Academy Summer 2021","tsm-academy",NA,"0.2779469403977315","106273298442359221","LCS Academy Summer 2021 (106273298442359221)",91
"92","LCS Academy Summer 2021","imt-academy",NA,"0.007679683151585696","106273298442359221","LCS Academy Summer 2021 (106273298442359221)",92
"93","LCS Academy Summer 2021","dig-academy",NA,"0","106273298442359221","LCS Academy Summer 2021 (106273298442359221)",93
"94","LCS Amateur Circuit Summer 2022","100-next",NA,"1","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",94
"95","LCS Amateur Circuit Summer 2022","jakes-kittens",NA,"0.897423721375319","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",95
"96","LCS Amateur Circuit Summer 2022","supernova","north_american_challenger_league","0.8438815006938842","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",96
"97","LCS Amateur Circuit Summer 2022","aoe-esports","north_american_challenger_league","0.7622039833453549","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",97
"98","LCS Amateur Circuit Summer 2022","maryville-university","north_american_challenger_league","0.7403499028280581","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",98
"99","LCS Amateur Circuit Summer 2022","eg-prodigies",NA,"0.7373864929007151","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",99
"100","LCS Amateur Circuit Summer 2022","taco-gaming",NA,"0.7042527633891131","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",100
"101","LCS Amateur Circuit Summer 2022","aoe-ginger-turmeric",NA,"0.5705132180258647","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",101
"102","LCS Amateur Circuit Summer 2022","team-pending",NA,"0.5066045365541171","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",102
"103","LCS Amateur Circuit Summer 2022","the-last-dance",NA,"0.4860529723916728","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",103
"104","LCS Amateur Circuit Summer 2022","cincinnati-fear","north_american_challenger_league","0.4633179504641622","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",104
"105","LCS Amateur Circuit Summer 2022","aoe-randoms",NA,"0.22352468929023628","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",105
"106","LCS Amateur Circuit Summer 2022","dk-crew",NA,"0","108514431834916228","LCS Amateur Circuit Summer 2022 (108514431834916228)",106
"107","LCS Proving Grounds Spring 2021","100-academy",NA,"1","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",107
"108","LCS Proving Grounds Spring 2021","dig-academy",NA,"0.8071595698277597","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",108
"109","LCS Proving Grounds Spring 2021","tsm-academy",NA,"0.6778164934782132","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",109
"110","LCS Proving Grounds Spring 2021","clg-academy",NA,"0.5335430701990619","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",110
"111","LCS Proving Grounds Spring 2021","imt-academy",NA,"0.5029061664022776","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",111
"112","LCS Proving Grounds Spring 2021","c9-academy",NA,"0.4792344886322842","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",112
"113","LCS Proving Grounds Spring 2021","tl-academy","north_american_challenger_league","0.4482559479014691","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",113
"114","LCS Proving Grounds Spring 2021","fly-academy","north_american_challenger_league","0.3362467538531168","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",114
"115","LCS Proving Grounds Spring 2021","gg-academy",NA,"0.1826300465807617","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",115
"116","LCS Proving Grounds Spring 2021","dignitas-mirage",NA,"0.013033318259577856","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",116
"117","LCS Proving Grounds Spring 2021","eg-academy","north_american_challenger_league","0","105913088922791426","LCS Proving Grounds Spring 2021 (105913088922791426)",117
"118","LCS Proving Grounds Spring 2022","c9-academy",NA,"1","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",118
"119","LCS Proving Grounds Spring 2022","eg-academy","north_american_challenger_league","0.7371499890204009","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",119
"120","LCS Proving Grounds Spring 2022","fly-academy","north_american_challenger_league","0.6511150323056863","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",120
"121","LCS Proving Grounds Spring 2022","clg-academy",NA,"0.5596879506116185","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",121
"122","LCS Proving Grounds Spring 2022","dig-academy",NA,"0.4863954133589496","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",122
"123","LCS Proving Grounds Spring 2022","gg-academy",NA,"0.47389921021917636","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",123
"124","LCS Proving Grounds Spring 2022","100-academy",NA,"0.4139571720137657","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",124
"125","LCS Proving Grounds Spring 2022","tl-academy","north_american_challenger_league","0.3536639316535189","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",125
"126","LCS Proving Grounds Spring 2022","maryville-saints",NA,"0.11757466176258446","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",126
"127","LCS Proving Grounds Spring 2022","imt-academy",NA,"0.059656145677159746","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",127
"128","LCS Proving Grounds Spring 2022","tsm-academy",NA,"0","107921288851375933","LCS Proving Grounds Spring 2022 (107921288851375933)",128
"129","LCS Proving Grounds Summer 2021","c9-academy",NA,"1","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",129
"130","LCS Proving Grounds Summer 2021","eg-academy","north_american_challenger_league","0.9898397828345378","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",130
"131","LCS Proving Grounds Summer 2021","supernova","north_american_challenger_league","0.9280440536677638","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",131
"132","LCS Proving Grounds Summer 2021","fly-academy","north_american_challenger_league","0.9184462583146349","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",132
"133","LCS Proving Grounds Summer 2021","tl-academy","north_american_challenger_league","0.8755520736270131","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",133
"134","LCS Proving Grounds Summer 2021","tsm-academy",NA,"0.7520012580657168","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",134
"135","LCS Proving Grounds Summer 2021","100-academy",NA,"0.7386739244310776","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",135
"136","LCS Proving Grounds Summer 2021","imt-academy",NA,"0.5770466483681912","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",136
"137","LCS Proving Grounds Summer 2021","gg-academy",NA,"0.4514322390203531","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",137
"138","LCS Proving Grounds Summer 2021","dig-academy",NA,"0","106858019190269494","LCS Proving Grounds Summer 2021 (106858019190269494)",138
"139","LCS Proving Grounds Summer 2022","tl-academy","north_american_challenger_league","1","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",139
"140","LCS Proving Grounds Summer 2022","maryville-university","north_american_challenger_league","0.7046632878602364","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",140
"141","LCS Proving Grounds Summer 2022","100-next",NA,"0.6912806982675826","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",141
"142","LCS Proving Grounds Summer 2022","100-academy",NA,"0.6275832726802892","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",142
"143","LCS Proving Grounds Summer 2022","aoe-esports","north_american_challenger_league","0.605934998403512","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",143
"144","LCS Proving Grounds Summer 2022","eg-academy","north_american_challenger_league","0.5938133611806948","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",144
"145","LCS Proving Grounds Summer 2022","c9-academy",NA,"0.5195186269319736","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",145
"146","LCS Proving Grounds Summer 2022","dig-academy",NA,"0.49282256421519416","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",146
"147","LCS Proving Grounds Summer 2022","aoe-ginger-turmeric",NA,"0.4562777658004904","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",147
"148","LCS Proving Grounds Summer 2022","taco-gaming",NA,"0.45502053861294384","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",148
"149","LCS Proving Grounds Summer 2022","cincinnati-fear","north_american_challenger_league","0.44556972561679403","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",149
"150","LCS Proving Grounds Summer 2022","fly-academy","north_american_challenger_league","0.41386527461443673","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",150
"151","LCS Proving Grounds Summer 2022","imt-academy",NA,"0.37190243204830536","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",151
"152","LCS Proving Grounds Summer 2022","eg-prodigies",NA,"0.3026803416062378","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",152
"153","LCS Proving Grounds Summer 2022","team-pending",NA,"0.2405908633776436","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",153
"154","LCS Proving Grounds Summer 2022","tsm-academy",NA,"0.09768215546785551","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",154
"155","LCS Proving Grounds Summer 2022","clg-academy",NA,"0.07303614777520961","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",155
"156","LCS Proving Grounds Summer 2022","the-last-dance",NA,"0.043243955430963904","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",156
"157","LCS Proving Grounds Summer 2022","gg-academy",NA,"0.003485831128111855","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",157
"158","LCS Proving Grounds Summer 2022","dk-crew",NA,"0","108322950356576857","LCS Proving Grounds Summer 2022 (108322950356576857)",158
"159","LCS Spring 2022","team-liquid","lcs","1","107458367237283414","LCS Spring 2022 (107458367237283414)",159
"160","LCS Spring 2022","evil-geniuses","lcs","0.7474839736178822","107458367237283414","LCS Spring 2022 (107458367237283414)",160
"161","LCS Spring 2022","100-thieves","lcs","0.5530686456228948","107458367237283414","LCS Spring 2022 (107458367237283414)",161
"162","LCS Spring 2022","cloud9","lcs","0.5484917753569114","107458367237283414","LCS Spring 2022 (107458367237283414)",162
"163","LCS Spring 2022","dignitas","lcs","0.4132456036696505","107458367237283414","LCS Spring 2022 (107458367237283414)",163
"164","LCS Spring 2022","clg",NA,"0.32593431682752455","107458367237283414","LCS Spring 2022 (107458367237283414)",164
